,translation_G1_1,translation_G1_2,translation_G1_3,translation_G2M_1,translation_G2M_2,translation_G2M_3,translation_MG1_1,translation_MG1_2,translation_MG1_3,translation_S_1,translation_S_2,translation_S_3
169,23.1295,23.576,23.58749,23.05406,22.54814,22.31468,22.95017,22.19039,22.376260000000002,22.79699,21.42296,22.97505
170,21.93596,20.4914,21.10955,20.812920000000002,20.417720000000003,21.50814,22.26657,21.60359,20.22635,20.451810000000002,20.505329999999997,21.56258
171,24.0141,23.8292,23.95872,23.59969,22.78027,23.9693,23.43759,23.65316,22.96805,23.26885,23.57946,23.497529999999998
172,22.746920000000003,22.97682,22.68475,21.65053,21.90804,21.54,21.37904,23.02947,21.30697,22.66796,21.87965,23.06467
173,,,,,20.46792,,,,19.40684,20.39184,20.77884,
174,23.35797,23.5566,23.85643,21.00662,22.8951,,20.66075,23.39165,22.93998,22.55808,22.68286,23.426370000000002
175,21.6193,,21.41978,21.694679999999998,,22.15484,20.857570000000003,,21.09075,,,
176,21.389110000000002,,,,,,21.10181,,,,,
177,,,,,20.75369,23.46376,,,,,,20.688760000000002
178,24.70298,25.00979,24.56802,25.22971,24.948420000000002,25.19427,25.36713,24.866889999999998,24.99761,23.43746,23.32992,23.86693
179,22.58093,23.02955,22.81865,,20.72167,23.39624,22.058870000000002,22.70512,22.80041,22.15863,22.03922,
180,24.52528,25.06225,24.27469,24.4771,23.95722,24.97579,25.59457,24.579520000000002,24.08278,23.514,24.67115,24.3476
181,23.60964,24.20598,24.04593,24.51153,23.89551,25.2321,24.26127,23.827360000000002,24.18238,23.50154,22.97155,23.67001
182,22.48635,21.94789,22.463160000000002,23.36906,22.20216,23.68528,22.55389,22.081020000000002,21.80884,22.30527,21.99693,23.43657
183,,,,20.95262,19.91336,20.96811,20.53051,,,,20.25153,
184,22.068939999999998,21.74316,21.07698,21.71971,20.438679999999998,21.56393,20.08835,21.89234,21.8867,21.78029,20.27594,21.91295
185,23.37172,22.71956,22.644560000000002,23.070829999999997,22.854110000000002,22.442610000000002,22.18879,22.39718,22.47749,23.94566,23.37398,23.62053
186,24.555670000000003,25.018520000000002,25.03057,25.20378,24.93521,25.1189,25.10025,24.3009,24.55239,26.6679,26.60315,26.686320000000002
187,22.64775,23.610429999999997,22.10751,22.40406,22.660429999999998,22.72796,22.59614,22.498920000000002,22.772579999999998,21.07842,22.05696,22.80859
188,24.57946,24.39885,25.03565,25.05254,23.97404,25.08172,24.32793,24.43797,23.78077,23.82629,24.36399,24.36873
189,,20.65193,20.779889999999998,,,20.92202,20.569779999999998,20.4495,20.35229,20.04993,19.90541,20.35014
190,24.39735,24.17539,24.54274,25.50691,24.39185,25.772560000000002,25.55095,24.870179999999998,24.59281,23.88502,24.16262,24.54103
191,25.06788,26.264940000000003,25.219,25.45083,25.74134,26.02365,25.56421,25.15464,25.74224,26.19144,26.11674,24.86825
192,25.04789,25.13104,25.19385,25.69354,25.319000000000003,26.981090000000002,25.94029,25.45281,25.121,25.111079999999998,24.934089999999998,25.345029999999998
193,24.716179999999998,24.71356,24.87319,25.35343,24.88944,25.605970000000003,25.33214,25.02153,24.7897,24.57548,24.47574,24.78566
194,,,20.39634,21.22099,19.48866,21.614910000000002,20.089129999999997,,,,,20.30919
195,26.44605,26.61119,26.752390000000002,27.043229999999998,26.63519,27.487,26.82214,26.817870000000003,26.57408,26.335309999999996,26.46583,26.5996
196,23.83759,24.19768,24.31077,24.73944,23.758979999999998,25.471870000000003,24.68169,24.11751,24.31596,22.72823,23.84556,24.73959
197,21.70531,,,,,22.08877,22.83829,22.27532,22.02141,20.81394,21.83896,21.12666
198,,21.31788,,,20.34711,20.67822,,,,22.78155,21.702779999999997,22.39793
199,19.9999,20.675639999999998,19.75641,,20.625239999999998,,,21.15363,,19.959429999999998,,
200,,20.247139999999998,20.60775,22.31888,,22.20117,21.053910000000002,,,,,21.417820000000003
201,20.7662,21.38221,22.020220000000002,23.648889999999998,22.80191,23.74201,22.6141,22.53796,21.31097,22.58132,21.84215,22.53196
202,21.86329,20.91947,22.77048,23.00335,22.10623,23.47754,22.41258,22.182679999999998,22.224439999999998,,20.12225,19.905739999999998
203,25.21915,25.1208,25.55891,25.74083,25.08623,25.76373,25.66915,25.30424,24.60642,24.80366,24.81563,25.67312
204,,,,22.45103,20.266479999999998,22.63179,20.908,,,,,20.726999999999997
205,25.43581,25.25544,25.3002,25.30529,24.016479999999998,24.70409,25.054489999999998,25.14317,24.72099,24.8666,24.94851,25.29457
